datetime,optime,add_amount_brightener,add_amount_carrier,velocity_mean,velocity_var,velocity_std,tension_mean,tension_var,tension_std,voltage_mean,voltage_var,voltage_std,ampere_mean,ampere_var,ampere_std,temperature_mean,temperature_var,temperature_std,cs_mean,cs_var,cs_std,sa_mean,sa_var,sa_std,c_mean,c_var,c_std
2023-07-18 00:00:00+00:00,0 days 05:15:00,320.0,200.0,0.060000000000000005,4.81482486096809e-35,6.938893903907228e-18,2.733333333333333,0.013333333333333312,0.11547005383792507,2.0090909090909097,0.029917355371900843,0.17296634173127684,37.54545454545455,125.52066115702479,11.203600365821016,25.87777777777778,0.1995061728395057,0.4466611387164835,143.5,0.0,0.0,132.79,0.0,0.0,0.0,0.0,0.0
2023-07-19 00:00:00+00:00,0 days 05:45:00,450.0,150.0,0.05700000000000001,2.0999999999999975e-05,0.004582575694955837,2.96,0.016400000000000005,0.128062484748657,1.9750000000000003,0.01687500000000001,0.12990381056766584,38.833333333333336,126.63888888888891,11.253394549596532,25.78,0.015600000000000003,0.12489995996796797,144.5,0.0,0.0,133.28,0.0,0.0,0.0,0.0,0.0
2023-07-20 00:00:00+00:00,0 days 05:45:00,230.0,150.0,0.384,0.944784,0.972,3.1500000000000004,0.03049999999999999,0.17464249196572978,2.0000000000000004,0.02833333333333335,0.16832508230603468,37.08833333333333,274.8724972222222,16.579279152671933,25.939999999999998,0.028400000000000182,0.16852299546352772,144.5,0.0,0.0,136.22,0.0,0.0,0.0,0.0,0.0
2023-07-24 00:00:00+00:00,0 days 03:05:00,300.0,150.0,0.057999999999999996,1.599999999999998e-05,0.0039999999999999975,3.06,0.010400000000000019,0.10198039027185579,2.1,0.03333333333333336,0.18257418583505544,40.666666666666664,155.55555555555557,12.472191289246473,25.620000000000005,0.08959999999999972,0.29933259094191483,142.5,0.0,0.0,133.77,0.0,0.0,0.0,0.0,0.0
2023-07-25 00:00:00+00:00,0 days 05:40:00,380.0,170.0,0.06000000000000001,1.818181818181819e-05,0.00426401432711221,3.3454545454545452,0.033388429752066115,0.1827250112931071,2.0923076923076924,0.02994082840236689,0.1730341827569538,40.46153846153846,127.94082840236685,11.311093156824713,25.454545454545453,0.24247933884297534,0.49242191141639435,159.5,0.0,0.0,145.04,0.0,0.0,0.0,0.0,0.0
2023-07-26 00:00:00+00:00,0 days 05:55:00,230.0,150.0,0.06100000000000001,2.900000000000002e-05,0.0053851648071345055,3.38,0.12359999999999993,0.3515679166249388,2.1916666666666664,0.03909722222222221,0.19773017529507783,39.75,108.6875,10.425329730996522,25.330000000000002,0.7080999999999994,0.8414867794564567,157.5,0.0,0.0,143.08,0.0,0.0,0.0,0.0,0.0
2023-08-24 00:00:00+00:00,0 days 01:35:00,220.0,210.0,0.05000000000000001,4.81482486096809e-35,6.938893903907228e-18,4.466666666666666,0.015555555555555545,0.12472191289246468,1.975,0.046875,0.21650635094610965,39.5,126.75,11.258330249197702,25.399999999999995,0.006666666666666619,0.08164965809277232,177.5,0.0,0.0,145.53,0.0,0.0,0.0,0.0,0.0
2023-09-06 00:00:00+00:00,0 days 04:10:00,306.0,302.0,0.03666666666666667,8.888888888888893e-05,0.009428090415820637,4.333333333333334,0.24555555555555567,0.495535624910617,2.0875000000000004,0.05109375000000002,0.2260392665003141,52.625,305.734375,17.485261650887583,25.416666666666668,0.09805555555555556,0.3131382371342656,177.5,0.0,0.0,146.51,0.0,0.0,0.0,0.0,0.0
2023-09-07 00:00:00+00:00,0 days 04:55:00,376.0,165.0,0.03,0.0,0.0,3.8125,0.9560937500000002,0.9778004653302228,2.18,0.04759999999999997,0.2181742422927142,55.8,265.96000000000004,16.308280105516953,26.0875,0.016093750000000066,0.126861144563653,150.0,0.0,0.0,128.87,0.0,0.0,0.0,0.0,0.0
2023-09-08 00:00:00+00:00,0 days 04:15:00,200.0,150.0,0.03,0.0,0.0,4.766666666666667,0.0988888888888889,0.31446603773522014,2.1875,0.08109374999999998,0.2847696437473629,48.0,226.0,15.033296378372908,26.8,0.01999999999999986,0.141421356237309,146.0,0.0,0.0,128.38,0.0,0.0,0.0,0.0,0.0
2023-09-11 00:00:00+00:00,0 days 03:10:00,180.0,226.2,0.046,6.400000000000001e-05,0.008,3.94,0.026399999999999944,0.16248076809271902,2.3833333333333333,0.10472222222222223,0.32360813064912664,50.50833333333333,901.7420138888889,30.029019529263504,26.860000000000003,0.010399999999999982,0.10198039027185561,147.5,0.0,0.0,126.42,0.0,0.0,0.0,0.0,0.0
2023-09-12 00:00:00+00:00,0 days 04:55:00,180.0,396.0,0.05625,2.3437499999999973e-05,0.0048412291827592685,4.3375,0.5073437500000001,0.7122806679954189,2.4,0.10800000000000003,0.32863353450309973,69.9,494.48999999999995,22.237131109925127,27.0625,0.012343749999999997,0.11110243021644485,148.5,0.0,0.0,126.42,0.0,0.0,0.0,0.0,0.0
2023-09-13 00:00:00+00:00,0 days 05:25:00,150.0,225.0,0.06,0.0,0.0,4.050000000000001,0.12249999999999996,0.3499999999999999,2.41,0.11290000000000004,0.33600595232822894,71.4,538.24,23.2,27.225,0.004375000000000013,0.06614378277661487,144.5,0.0,0.0,125.44,0.0,0.0,0.0,0.0,0.0
