CASE1,CASE2,CASE3,CASE4
1469.5,1469.5,1457.7,1456.5
1469.6,1469.6,1458,1456.5
1469.7,1469.7,1458.3,1456.5
1469.8,1469.8,1458.4,1456.5
1469.9,1469.9,1458.5,1456.5
1469.9,1469.9,1458.6,1456.5
1469.9,1469.9,1458.6,1456.5
1470,1470,1458.7,1456.5
1470,1470,1458.7,1456.5
1470.1,1470.1,1458.7,1456.5
1470.1,1470.1,1458.7,1456.5
1470.2,1470.2,1458.7,1456.5
1470.3,1470.3,1458.8,1456.5
1470.4,1470.4,1458.9,1456.5
1470.6,1470.6,1459,1456.5
1470.7,1470.7,1459.2,1456.5
1470.9,1470.9,1459.4,1456.5
1471,1471,1459.6,1456.5
1471.1,1471.1,1459.8,1456.5
1471.2,1471.2,1459.9,1456.5
1471.4,1471.4,1459.9,1456.6
1471.5,1471.5,1459.8,1456.6
1471.7,1471.7,1459.6,1456.6
1472,1472,1459.5,1456.6
1472.2,1472.2,1459.2,1456.6
1472.4,1472.4,1459,1456.6
1472.6,1472.6,1458.7,1456.6
1472.8,1472.8,1458.5,1456.6
1473,1473,1458.3,1456.6
1473.2,1473.2,1458.1,1456.6
1473.3,1473.3,1457.9,1456.6
1473.5,1473.5,1457.6,1456.6
1473.6,1473.6,1457.2,1456.6
1473.7,1473.7,1456.6,1456.6
1473.7,1473.7,1456.1,1456.6
1473.7,1473.7,1455.6,1456.6
1473.7,1473.7,1455.2,1456.6
1473.6,1473.6,1454.9,1456.5
1473.5,1473.5,1454.5,1456.5
1473.4,1473.4,1454.2,1456.5
1473.3,1473.3,1453.9,1456.5
1473.2,1473.2,1453.6,1456.5
1473.2,1473.2,1453.4,1456.5
1473.3,1473.3,1453.3,1456.5
1473.4,1473.4,1453.1,1456.5
1473.7,1473.7,1452.8,1456.5
1474.1,1474.1,1452.4,1456.5
1474.6,1474.6,1451.9,1456.5
1475.2,1475.2,1451.4,1456.5
1475.8,1475.8,1451.1,1456.5
1476.3,1476.3,1451,1456.5
1476.7,1476.7,1451.2,1456.5
1477.1,1477.1,1451.5,1456.5
1477.4,1477.4,1452,1456.5
1477.6,1477.6,1452.5,1456.6
1477.8,1477.8,1453.1,1456.6
1478,1478,1453.9,1456.6
1478.2,1478.2,1454.8,1456.6
1478.2,1478.2,1456.2,1456.6
1478.2,1478.2,1458,1456.6
1478,1478,1459.9,1456.5
1477.7,1477.7,1461.9,1456.5
1477.2,1477.2,1463.8,1456.5
1476.6,1476.6,1465.2,1456.5
1476,1476,1466,1456.5
1475.4,1475.4,1466.3,1456.5
1474.9,1474.9,1466.2,1456.5
1474.5,1474.5,1465.7,1456.5
1474.3,1474.3,1464.8,1456.5
1474.2,1474.2,1463.4,1456.5
1474.2,1474.2,1461.8,1456.5
1474.2,1474.2,1460,1456.5
1474.3,1474.3,1458.1,1456.5
1474.5,1474.5,1456.4,1456.5
1474.8,1474.8,1455.2,1456.5
1475,1475,1454.3,1456.5
1475.3,1475.3,1453.8,1456.5
1475.6,1475.6,1453.5,1456.6
1475.8,1475.8,1453.5,1456.6
1476.1,1476.1,1453.4,1456.6
1476.4,1476.4,1453.4,1456.6
1476.6,1476.6,1453.6,1456.6
1476.7,1476.7,1453.9,1456.6
1476.8,1476.8,1454.4,1456.6
1476.9,1476.9,1455,1456.6
1476.8,1476.8,1455.6,1456.6
1476.6,1476.6,1456.2,1456.6
1476.4,1476.4,1456.7,1456.6
1476.2,1476.2,1457.1,1456.6
1476,1476,1457.3,1456.5
1475.7,1475.7,1457.3,1456.5
1475.4,1475.4,1457.2,1456.5
1475.2,1475.2,1456.9,1456.5
1474.9,1474.9,1456.5,1456.5
1474.7,1474.7,1456.2,1456.5
1474.5,1474.5,1455.8,1456.5
1474.2,1474.2,1455.5,1456.5
1474,1474,1455.3,1456.5
1473.7,1473.7,1455,1456.5
1473.5,1473.5,1454.6,1456.5
1473.2,1473.2,1454.1,1456.5
1473,1473,1453.6,1456.5
1472.8,1472.8,1453.2,1456.5
1472.7,1472.7,1452.9,1456.5
1472.5,1472.5,1452.8,1456.5
1472.4,1472.4,1452.7,1456.5
1472.3,1472.3,1452.7,1456.5
1472.2,1472.2,1452.6,1456.5
1472,1472,1452.5,1456.5
1471.9,1471.9,1452.6,1456.5
1471.8,1471.8,1452.9,1456.5
1471.7,1471.7,1453.3,1456.5
1471.7,1471.7,1453.7,1456.5
1471.8,1471.8,1454,1456.5
1471.9,1471.9,1454,1456.5
1472.1,1472.1,1453.8,1456.5
1472.3,1472.3,1453.6,1456.5
1472.6,1472.6,1453.3,1456.5
1472.9,1472.9,1453.1,1456.5
1473.2,1473.2,1452.8,1456.5
1473.6,1473.6,1452.5,1456.5
1473.9,1473.9,1452.1,1456.5
1474.3,1474.3,1451.7,1456.5
1474.7,1474.7,1451.5,1456.5
1475.1,1475.1,1451.4,1456.5
1475.6,1475.6,1451.6,1456.5
1476.1,1476.1,1452.1,1456.5
1476.5,1476.5,1452.7,1456.5
1476.9,1476.9,1453.5,1456.5
1477.3,1477.3,1454.3,1456.5
1477.6,1477.6,1455.1,1456.5
1477.8,1477.8,1455.9,1456.5
1478.1,1478.1,1456.7,1456.5
1478.3,1478.3,1457.3,1456.5
1478.4,1478.4,1457.7,1456.5
1478.6,1478.6,1457.9,1456.5
1478.8,1478.8,1457.8,1456.5
1479,1479,1457.5,1456.5
1479.1,1479.1,1457.2,1456.5
1479.2,1479.2,1456.7,1456.6
1479.3,1479.3,1456.3,1456.6
1479.2,1479.2,1455.8,1456.6
1479.1,1479.1,1455.4,1456.6
1478.9,1478.9,1455,1456.6
1478.7,1478.7,1454.8,1456.6
1478.5,1478.5,1454.7,1456.6
1478.3,1478.3,1454.7,1456.6
1478.1,1478.1,1454.8,1456.6
1477.9,1477.9,1455,1456.6
1477.7,1477.7,1455.3,1456.6
1477.4,1477.4,1455.7,1456.6
1477.2,1477.2,1456.2,1456.6
1476.9,1476.9,1456.7,1456.6
1476.6,1476.6,1457.3,1456.6
1476.3,1476.3,1457.8,1456.5
1476.1,1476.1,1458.3,1456.5
1475.8,1475.8,1458.5,1456.5
1475.7,1475.7,1458.6,1456.5
1475.6,1475.6,1458.5,1456.5
1475.5,1475.5,1458.2,1456.5
1475.5,1475.5,1457.9,1456.5
1475.4,1475.4,1457.6,1456.5
1475.4,1475.4,1457.3,1456.5
1475.5,1475.5,1457.1,1456.5
1475.6,1475.6,1456.9,1456.5
1475.7,1475.7,1456.9,1456.5
1475.8,1475.8,1456.9,1456.5
1476,1476,1457,1456.5
1476.1,1476.1,1457.2,1456.5
1476.2,1476.2,1457.4,1456.5
1476.2,1476.2,1457.7,1456.5
1476.2,1476.2,1458,1456.5
1476.2,1476.2,1458.2,1456.5
1476.1,1476.1,1458.3,1456.5
1476,1476,1458.2,1456.5
1475.9,1475.9,1458.1,1456.5
1475.8,1475.8,1458,1456.5
1475.6,1475.6,1457.9,1456.5
1475.5,1475.5,1457.9,1456.5
1475.4,1475.4,1458,1456.5
1475.3,1475.3,1458.1,1456.6
1475.2,1475.2,1458.1,1456.6
1475.2,1475.2,1458.2,1456.6
